"Code","Year.index","SHMI.index","SHMI.before","Survey.index.observations","Engagement.index","Survey.before.observations","Engagement.before","Survey.after.observations","Engagement.after"
"R1H",2017,0.9105,0.8821,6932,3.91333333333333,6538,3.96333333333333,7313,3.94666666666667
"R1K",2017,0.8263,0.8158,3715,4.03666666666667,2791,4.00333333333333,3403,4.01666666666667
"RA2",2017,0.8102,0.9121,1567,3.95333333333333,1230,3.94666666666667,1443,3.97333333333333
"RA3",2017,1.0219,1.1106,722,3.86,567,3.89,620,3.81333333333333
"RA4",2017,0.9552,0.9958,1275,3.94333333333333,1365,3.95333333333333,1319,4.02
"RA7",2017,1.0168,0.9913,3692,3.88,3543,3.86333333333333,4720,3.90666666666667
"RA9",2017,0.9159,0.8312,2132,3.89,2690,3.93333333333333,2478,3.92333333333333
"RAE",2017,0.9305,0.9748,2002,3.96,453,3.93,2055,4
"RAJ",2017,1.1152,1.1743,1744,3.87333333333333,1697,3.88,2127,3.91
"RAL",2017,0.8646,0.9012,4072,3.94666666666667,3688,3.96666666666667,3176,3.98
"RAP",2017,0.8558,0.8893,1203,4.02,973,4.05,1201,4.02
"RAS",2017,0.9448,0.9313,1513,4.03333333333333,1400,4.07333333333333,1509,4.00333333333333
"RAX",2017,0.8574,0.8584,1515,3.97333333333333,1384,3.95666666666667,1702,3.93
"RBA",2017,0.8907,0.9844,1730,3.97,2063,3.95,1678,3.91666666666667
"RBD",2017,1.1382,1.1551,1310,3.93333333333333,1366,3.85,1303,3.9
"RBK",2017,1.0966,1.0339,1509,3.81333333333333,1701,3.81333333333333,1663,3.87333333333333
"RBL",2017,0.9556,0.9699,375,3.91,549,3.92333333333333,2603,3.86333333333333
"RBN",2017,1.0165,1.0347,617,3.98666666666667,675,3.99333333333333,611,4.09333333333333
"RBT",2017,1.0412,1.0424,669,3.90666666666667,707,3.99333333333333,648,3.96666666666667
"RBZ",2017,1.0771,1.0438,1148,3.97,442,3.96,1130,4.00666666666667
"RC1",2017,1.026,1.049,458,3.99,490,3.96,1211,3.99
"RC9",2017,1.0702,1.0595,2087,3.99333333333333,510,4.02666666666667,631,3.99666666666667
"RCB",2017,0.9889,0.974,4061,3.87,3803,3.89666666666667,3628,3.9
"RCD",2017,0.9044,0.9398,626,3.95666666666667,647,4.02,1558,3.95333333333333
"RCF",2017,0.9862,0.9656,1225,3.94333333333333,1028,3.89,1170,3.96
"RCX",2017,0.9822,1.0098,1413,3.94333333333333,1362,3.96666666666667,1348,3.83666666666667
"RD1",2017,0.9888,1.0089,2243,3.91333333333333,2205,3.95,2280,3.92
"RD3",2017,0.8642,0.8325,1814,4.00333333333333,1885,3.98333333333333,1856,3.94
