"Code","Year.index","SHMI.index","SHMI.before","Survey.index.observations","Engagement.index","Survey.before.observations","Engagement.before","Survey.after.observations","Engagement.after"
"RD8",2017,0.9361,1.0404,1374,3.91666666666667,1400,3.92666666666667,1440,3.92666666666667
"RDD",2017,1.0826,1.0363,2195,3.91333333333333,1856,4.01333333333333,1940,3.96
"RDE",2017,1.1427,1.0897,1555,3.89,403,3.92666666666667,3554,3.9
"RDU",2017,0.918,0.9032,3391,4.00666666666667,3006,4.06333333333333,3680,4.08333333333333
"RDZ",2017,0.972,0.937,2005,4.02333333333333,1931,3.98666666666667,2351,4.01666666666667
"RE9",2017,1.201,1.1413,1571,3.82333333333333,1630,3.80666666666667,1408,3.82666666666667
"REF",2017,0.9696,0.9674,2837,3.86666666666667,2148,3.82,1932,3.84333333333333
"REM",2017,0.9882,1.0701,2231,3.81666666666667,1923,3.80333333333333,1785,3.85
"RF4",2017,1.0232,1.0712,2765,3.97666666666667,2465,4.05,2713,3.99
"RFF",2017,1.0147,0.9915,1297,3.81666666666667,1461,3.78333333333333,1459,3.9
"RFR",2017,1.0904,1.1013,1694,3.8,1608,3.79333333333333,1588,3.83333333333333
"RFS",2017,1.019,0.9868,2353,3.87,1248,3.85666666666667,2710,3.89333333333333
"RGN",2017,1.0785,1.0734,465,3.94666666666667,2006,4.00666666666667,2158,3.97
"RGP",2017,1.1768,1.1517,521,3.89,526,3.92666666666667,487,3.93
"RGR",2017,0.8853,0.9037,585,3.98333333333333,615,4.03,594,3.97333333333333
"RGT",2017,0.8651,0.8126,4511,3.89,3917,3.96333333333333,5081,3.96
"RH8",2017,1.1132,1.0518,3909,3.95,2666,3.93,4175,3.98333333333333
"RHM",2017,0.9452,0.9589,4673,3.98666666666667,3601,3.98666666666667,4593,3.97
"RHQ",2017,0.9536,0.9846,7145,3.85666666666667,7039,3.84333333333333,7443,3.85
"RHU",2017,1.0571,1.1002,4165,3.91333333333333,3905,3.98,4019,3.85
"RHW",2017,1.0552,1.0174,2168,3.95333333333333,1807,3.97666666666667,2318,4.02
"RJ1",2017,0.7204,0.7518,5293,3.98666666666667,5033,4.07666666666667,6428,3.99333333333333
"RJ2",2017,0.9696,1.0003,1813,3.89666666666667,1709,3.95333333333333,2062,3.94333333333333
"RJ6",2017,0.8837,0.9061,1347,3.98666666666667,1139,4.00666666666667,878,3.97333333333333
"RJ7",2017,0.8173,0.8446,4211,3.88,3359,3.87,4379,3.83666666666667
"RJC",2017,1.0103,1.071,586,3.97333333333333,651,4.11333333333333,621,4.01666666666667
"RJE",2017,1.046,1.0082,4184,3.87,3614,3.89,4226,3.89333333333333
"RJL",2017,1.191,1.1218,2014,3.79333333333333,2497,3.89333333333333,1974,3.85333333333333
"RJN",2017,1.071,1.1139,1024,3.93,1046,4.00666666666667,1139,3.95666666666667
"RJR",2017,1.067,1.0904,1466,3.86666666666667,1351,3.89666666666667,439,3.89333333333333
"RJZ",2017,0.9287,0.9292,4815,3.85333333333333,3762,3.89333333333333,4610,3.84333333333333
"RK5",2017,1.0201,0.951,2450,3.92666666666667,501,3.96666666666667,2752,3.95333333333333
"RK9",2017,1.0337,1.0004,3805,3.87333333333333,3012,3.85,3532,3.91
"RKB",2017,1.1197,1.1047,3154,3.96666666666667,2988,3.95,2895,3.99
"RKE",2017,0.7437,0.6907,1648,3.95,430,3.88333333333333,1912,3.92
"RL4",2017,1.2181,1.1101,3229,3.93666666666667,391,4,3101,3.96
"RLN",2017,0.9634,1.0061,1878,3.92,1672,3.93333333333333,2202,3.90666666666667
"RLQ",2017,1.1668,1.1894,1466,3.93333333333333,1418,3.98,547,3.98333333333333
"RLT",2017,1.0863,1.1012,905,3.91333333333333,838,3.90333333333333,800,3.87333333333333
"RM1",2017,1.0647,1.0897,3500,3.82666666666667,3175,3.82666666666667,3472,3.84333333333333
"RM3",2017,0.8902,0.8992,3134,3.84333333333333,3629,3.88666666666667,3255,3.89666666666667
"RMC",2017,1.0523,1.0432,521,3.94666666666667,436,3.98333333333333,544,4.04333333333333
"RMP",2017,1.0789,1.0926,489,4.00666666666667,474,4.03,1492,3.96333333333333
"RN3",2017,0.9518,0.9368,2419,3.94333333333333,592,4.01,525,3.89333333333333
"RN5",2017,1.0289,1.039,2494,3.96666666666667,2568,3.96,2548,3.89
"RN7",2017,1.0808,1.0378,1531,3.93333333333333,1442,3.95333333333333,1438,3.89333333333333
"RNA",2017,1.0435,0.9859,1674,3.92333333333333,1967,3.97,1640,3.88
"RNL",2017,0.9831,0.9747,1864,3.82666666666667,1746,3.85,1695,3.83
"RNQ",2017,1.107,1.0403,1380,3.88666666666667,1145,3.96666666666667,1749,3.97666666666667
"RNS",2017,0.979,0.9579,1826,3.93666666666667,1600,3.98666666666667,2104,3.94666666666667
"RNZ",2017,1.0798,1.0207,1481,3.97666666666667,1152,4,1320,3.90666666666667
"RP5",2017,1.0462,1.0363,3069,3.81333333333333,2877,3.85666666666667,3260,3.82666666666667
"RPA",2017,1.0271,1.0914,1748,3.87333333333333,1964,3.94,1596,3.80333333333333
"RQ6",2017,1.0511,1.0367,3031,3.79,2720,3.80666666666667,2569,3.82333333333333
"RQ8",2017,1.0899,1.0748,1507,3.87333333333333,445,4.01,1486,3.88
"RQM",2017,0.8149,0.8273,1708,3.96,2434,3.94,2276,4.02
"RQW",2017,1.1213,1.0551,1126,3.92,1177,3.90333333333333,1299,3.96
"RQX",2017,0.8147,0.774,1800,3.94333333333333,1805,3.94,1862,3.92
"RR7",2017,1.017,0.9987,1563,3.94,1156,3.92666666666667,1403,3.87333333333333
"RR8",2017,1.015,0.9787,5071,3.88666666666667,7002,3.92666666666667,6313,3.93333333333333
"RRF",2017,1.1729,1.1756,427,4.08,435,4.01,421,3.93
"RRK",2017,1.0295,1.0364,3813,3.91666666666667,3479,3.93333333333333,6770,3.90333333333333
"RRV",2017,0.7515,0.7466,3230,3.91666666666667,3204,3.97,3052,3.92
"RTD",2017,0.9282,0.9595,4524,3.88666666666667,4383,3.92333333333333,6599,3.92333333333333
"RTE",2017,1.0695,1.1401,3571,3.83333333333333,3730,3.83333333333333,3127,3.84333333333333
"RTF",2017,1.0142,1.0325,878,3.94333333333333,910,3.98333333333333,882,4.00666666666667
"RTG",2017,0.9394,1.0203,3384,3.96,2449,3.95666666666667,4429,3.95
"RTH",2017,0.9309,0.9354,4461,3.91,457,4.00666666666667,5674,3.89666666666667
"RTK",2017,0.9478,0.9642,1580,3.99333333333333,1508,4.06,1608,4.06666666666667
"RTP",2017,0.9494,0.9569,2450,4.02,2374,4.07,2522,4.04
"RTR",2017,1.1056,1.0267,406,3.83666666666667,2716,3.83333333333333,408,3.8
"RTX",2017,1.0038,1.0335,2140,3.91,2130,3.9,2371,3.96333333333333
"RVJ",2017,0.9552,0.9667,3662,3.83,395,3.90333333333333,3310,3.85666666666667
"RVR",2017,0.9527,0.9493,2412,3.92,2500,3.95,1967,3.88333333333333
"RVV",2017,1.0156,1.0105,3630,3.82333333333333,3404,3.84,3476,3.83333333333333
"RVW",2017,1.0499,1.1029,610,3.9,735,3.95333333333333,555,3.93666666666667
"RVY",2017,1.1419,1.1588,1243,3.82333333333333,1610,3.88333333333333,1113,3.83333333333333
"RW6",2017,1.0077,1.0906,2946,3.88,3971,3.84333333333333,3098,3.85666666666667
"RWA",2017,1.1034,1.0721,3428,3.94333333333333,3474,3.96333333333333,3153,3.94333333333333
"RWD",2017,1.1487,1.1139,3167,3.88666666666667,2801,3.96666666666667,3346,3.82333333333333
"RWE",2017,0.9663,1.0058,4680,3.91333333333333,431,3.97333333333333,5315,3.95333333333333
"RWF",2017,1.0219,1.0878,393,3.89,437,3.94333333333333,1860,3.92
"RWG",2017,0.9798,0.8952,1841,3.96333333333333,1745,3.95,2019,4.01666666666667
"RWH",2017,1.0736,1.0231,1601,3.87666666666667,1788,3.97666666666667,2350,3.92666666666667
"RWJ",2017,0.9609,0.9101,2106,3.87333333333333,1930,3.90666666666667,603,3.90666666666667
"RWP",2017,1.0476,1.0675,1935,3.92666666666667,1717,3.89666666666667,1956,3.9
"RWW",2017,1.0673,1.0978,1784,3.90666666666667,1456,3.91333333333333,1958,3.95666666666667
"RWY",2017,1.0064,1.0473,2386,3.88666666666667,545,3.95333333333333,2738,3.92333333333333
"RX1",2017,1.0185,1.0272,5123,3.85666666666667,4765,3.89,5278,3.86333333333333
"RXC",2017,1.0449,1.0919,3185,3.89333333333333,2912,3.89333333333333,3579,3.9
"RXF",2017,0.9862,0.9886,3283,3.84,477,3.80333333333333,504,3.88666666666667
"RXH",2017,0.9977,0.9632,4142,3.78,3094,3.82,4644,3.84666666666667
"RXK",2017,1.1259,1.0356,296,3.88666666666667,308,3.89666666666667,272,3.96333333333333
"RXL",2017,1.1453,1.1425,2308,3.99666666666667,2501,3.97,2278,3.97666666666667
"RXN",2017,1.044,1.0086,3785,3.92,3084,3.92,3553,3.86666666666667
"RXP",2017,1.0448,1.0612,3068,3.87,460,3.91,327,3.86
"RXQ",2017,1.0049,0.9366,2801,3.93333333333333,2959,3.96,2925,3.96666666666667
"RXR",2017,1.0675,1.0443,3305,3.93333333333333,3445,3.97,3595,3.99666666666667
"RXW",2017,1.0287,1.0031,2340,3.9,2033,3.91333333333333,2530,3.81
"RYJ",2017,0.7512,0.7645,483,3.93,489,3.97333333333333,540,3.98
"RYR",2017,0.959,0.9566,4425,3.94666666666667,3894,3.93,4302,3.91333333333333
