"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"RJ1",2017,0.7204,0.7518,0.7017,5313,0.63,5293,3.98666666666667,5033,4.07666666666667,6428,3.99333333333333
"RJ2",2017,0.9696,1.0003,0.9698,1825,0.74,1813,3.89666666666667,1709,3.95333333333333,2062,3.94333333333333
"RJ6",2017,0.8837,0.9061,0.9677,1306,0.71,1347,3.98666666666667,1139,4.00666666666667,878,3.97333333333333
"RJ7",2017,0.8173,0.8446,0.8394,3980,0.71,4211,3.88,3359,3.87,4379,3.83666666666667
"RJC",2017,1.0103,1.071,0.9912,583,0.7,586,3.97333333333333,651,4.11333333333333,621,4.01666666666667
"RJE",2017,1.046,1.0082,1.0554,3983,0.65,4184,3.87,3614,3.89,4226,3.89333333333333
"RJF",2017,0.982,0.9918,NA,1264,0.67,1390,3.96,1289,3.95666666666667,NA,NA
"RJL",2017,1.191,1.1218,1.1263,1967,0.61,2014,3.79333333333333,2497,3.89333333333333,1974,3.85333333333333
"RJN",2017,1.071,1.1139,1.1472,1025,0.66,1024,3.93,1046,4.00666666666667,1139,3.95666666666667
"RJR",2017,1.067,1.0904,1.069,1466,0.67,1466,3.86666666666667,1351,3.89666666666667,439,3.89333333333333
"RJZ",2017,0.9287,0.9292,0.9589,4552,0.76,4815,3.85333333333333,3762,3.89333333333333,4610,3.84333333333333
"RK5",2017,1.0201,0.951,0.9672,2436,0.64,2450,3.92666666666667,501,3.96666666666667,2752,3.95333333333333
"RK9",2017,1.0337,1.0004,1.0808,3544,0.68,3805,3.87333333333333,3012,3.85,3532,3.91
"RKB",2017,1.1197,1.1047,1.1202,3146,0.69,3154,3.96666666666667,2988,3.95,2895,3.99
"RKE",2017,0.7437,0.6907,0.7703,1552,0.74,1648,3.95,430,3.88333333333333,1912,3.92
"RL4",2017,1.2181,1.1101,1.2173,3234,0.66,3229,3.93666666666667,391,4,3101,3.96
"RLN",2017,0.9634,1.0061,0.9912,1724,0.71,1878,3.92,1672,3.93333333333333,2202,3.90666666666667
"RLQ",2017,1.1668,1.1894,1.0586,1475,0.72,1466,3.93333333333333,1418,3.98,547,3.98333333333333
"RLT",2017,1.0863,1.1012,1.1427,907,0.69,905,3.91333333333333,838,3.90333333333333,800,3.87333333333333
"RM1",2017,1.0647,1.0897,1.0748,3493,0.67,3500,3.82666666666667,3175,3.82666666666667,3472,3.84333333333333
"RM2",NA,NA,0.9551,NA,1920,0.65,2055,3.89333333333333,433,3.90333333333333,NA,NA
"RM3",2017,0.8902,0.8992,0.9182,2872,0.63,3134,3.84333333333333,3629,3.88666666666667,3255,3.89666666666667
"RMC",2017,1.0523,1.0432,1.1385,524,0.62,521,3.94666666666667,436,3.98333333333333,544,4.04333333333333
"RMP",2017,1.0789,1.0926,1.2193,498,0.66,489,4.00666666666667,474,4.03,1492,3.96333333333333
"RN3",2017,0.9518,0.9368,0.8556,2270,0.73,2419,3.94333333333333,592,4.01,525,3.89333333333333
"RN5",2017,1.0289,1.039,1.0205,2321,0.69,2494,3.96666666666667,2568,3.96,2548,3.89
"RN7",2017,1.0808,1.0378,1.0729,1536,0.74,1531,3.93333333333333,1442,3.95333333333333,1438,3.89333333333333
"RNA",2017,1.0435,0.9859,1.1792,1578,0.71,1674,3.92333333333333,1967,3.97,1640,3.88
"RNL",2017,0.9831,0.9747,0.9636,1785,0.62,1864,3.82666666666667,1746,3.85,1695,3.83
"RNQ",2017,1.107,1.0403,1.0812,1375,0.61,1380,3.88666666666667,1145,3.96666666666667,1749,3.97666666666667
"RNS",2017,0.979,0.9579,1.0362,1742,0.63,1826,3.93666666666667,1600,3.98666666666667,2104,3.94666666666667
"RNZ",2017,1.0798,1.0207,0.9969,1401,0.62,1481,3.97666666666667,1152,4,1320,3.90666666666667
"RP5",2017,1.0462,1.0363,1.0465,2857,0.72,3069,3.81333333333333,2877,3.85666666666667,3260,3.82666666666667
"RPA",2017,1.0271,1.0914,1.1022,1748,0.64,1748,3.87333333333333,1964,3.94,1596,3.80333333333333
"RQ6",2017,1.0511,1.0367,1.0444,2876,0.61,3031,3.79,2720,3.80666666666667,2569,3.82333333333333
"RQ8",2017,1.0899,1.0748,1.1085,1502,0.72,1507,3.87333333333333,445,4.01,1486,3.88
"RQM",2017,0.8149,0.8273,0.8022,1632,0.77,1708,3.96,2434,3.94,2276,4.02
"RQQ",NA,NA,NA,NA,NA,NA,NA,NA,617,4.03,NA,NA
"RQW",2017,1.1213,1.0551,1.1669,1040,0.64,1126,3.92,1177,3.90333333333333,1299,3.96
"RQX",2017,0.8147,0.774,0.6917,1709,0.76,1800,3.94333333333333,1805,3.94,1862,3.92
"RR1",2017,0.9624,0.9662,NA,3738,0.68,3982,3.88,3533,3.90666666666667,NA,NA
"RR7",2017,1.017,0.9987,1.0409,1568,0.67,1563,3.94,1156,3.92666666666667,1403,3.87333333333333
"RR8",2017,1.015,0.9787,1.0744,5111,0.63,5071,3.88666666666667,7002,3.92666666666667,6313,3.93333333333333
"RRF",2017,1.1729,1.1756,1.1025,428,0.6,427,4.08,435,4.01,421,3.93
"RRK",2017,1.0295,1.0364,0.9744,3557,0.63,3813,3.91666666666667,3479,3.93333333333333,6770,3.90333333333333
"RRV",2017,0.7515,0.7466,0.7255,3018,0.68,3230,3.91666666666667,3204,3.97,3052,3.92
"RTD",2017,0.9282,0.9595,0.9847,4507,0.63,4524,3.88666666666667,4383,3.92333333333333,6599,3.92333333333333
"RTE",2017,1.0695,1.1401,1.026,3589,0.67,3571,3.83333333333333,3730,3.83333333333333,3127,3.84333333333333
"RTF",2017,1.0142,1.0325,1.0147,887,0.7,878,3.94333333333333,910,3.98333333333333,882,4.00666666666667
"RTG",2017,0.9394,1.0203,0.9676,3206,0.7,3384,3.96,2449,3.95666666666667,4429,3.95
"RTH",2017,0.9309,0.9354,0.921,4166,0.66,4461,3.91,457,4.00666666666667,5674,3.89666666666667
"RTK",2017,0.9478,0.9642,0.9781,1513,0.66,1580,3.99333333333333,1508,4.06,1608,4.06666666666667
"RTP",2017,0.9494,0.9569,0.9468,2467,0.73,2450,4.02,2374,4.07,2522,4.04
"RTR",2017,1.1056,1.0267,1.0946,407,0.67,406,3.83666666666667,2716,3.83333333333333,408,3.8
