Code,Year.index,SHMI.index,SHMI.before,Survey.index.observations,Engagement.index,Survey.before.observations,Engagement.before,Survey.after.observations,Engagement.after
RQ8,2012,1.1109,1.0666,252,3.873333333,NA,NA,256,3.83
RQM,2012,0.781,0.8116,503,3.883333333,NA,NA,495,3.89
RQQ,2012,0.9693,0.9129,450,3.816666667,NA,NA,855,3.91
RQW,2012,1.0501,1.0365,427,3.896666667,NA,NA,469,3.916666667
RQX,2012,0.9213,0.9685,373,3.943333333,NA,NA,1359,3.99
RR1,2012,1.0296,1.0475,360,3.8,NA,NA,272,3.786666667
RR7,2012,1.0407,1.0387,406,3.733333333,NA,NA,408,3.723333333
RR8,2012,0.9158,0.9255,384,3.673333333,NA,NA,475,3.763333333
RRF,2012,1.0667,1.0473,372,3.88,NA,NA,401,3.933333333
RRK,2012,1.0637,1.0143,388,3.87,NA,NA,475,3.97
RRV,2012,0.7081,0.7227,384,3.95,NA,NA,3218,3.943333333
RTD,2012,0.9333,0.9692,444,3.82,NA,NA,432,3.91
RTE,2012,0.9775,0.9637,492,3.686666667,NA,NA,4281,3.773333333
RTF,2012,1.0903,1.0353,574,3.813333333,NA,NA,632,3.9
RTG,2012,1.1023,1.0879,424,3.79,NA,NA,367,3.85
RTH,2012,0.9561,1.0014,380,3.846666667,NA,NA,368,3.903333333
RTK,2012,0.9816,0.9556,401,3.813333333,NA,NA,1250,3.853333333
RTP,2012,0.9566,0.9422,470,3.953333333,NA,NA,547,3.986666667
RTR,2012,1.037,0.9537,491,3.766666667,NA,NA,443,3.776666667
RTX,2012,1.0228,1.107,414,3.666666667,NA,NA,472,3.756666667
RV8,2012,0.815,0.8115,215,3.986666667,NA,NA,314,4.013333333
RVJ,2012,0.9622,0.9652,441,3.786666667,NA,NA,434,3.86
RVL,2012,0.848,0.8835,443,3.843333333,NA,NA,445,3.82
RVR,2012,0.9565,0.935,437,3.82,NA,NA,2029,3.906666667
RVV,2012,0.9568,0.9877,394,3.773333333,NA,NA,414,3.816666667
RVW,2012,1.099,1.1227,456,3.79,NA,NA,401,3.756666667
RVY,2012,1.0274,1.071,434,3.843333333,NA,NA,450,3.806666667
RW3,2012,1.0957,1.0856,387,3.85,NA,NA,367,3.85
RW6,2012,1.0876,1.0325,372,3.69,NA,NA,500,3.803333333
RWA,2012,1.0319,1.1606,290,3.643333333,NA,NA,430,3.726666667
RWD,2012,1.0901,1.1078,390,3.75,NA,NA,3112,3.76
RWE,2012,1.0491,1.0499,405,3.86,NA,NA,378,3.846666667
RWF,2012,0.9677,0.9874,507,3.893333333,NA,NA,2674,3.893333333
RWG,2012,1.0695,1.0569,317,3.93,NA,NA,1728,3.876666667
RWH,2012,1.1388,1.136,347,3.89,NA,NA,324,3.863333333
RWJ,2012,0.9424,0.9339,401,3.89,NA,NA,445,3.983333333
RWP,2012,1.0279,1.0503,369,3.866666667,NA,NA,343,3.903333333
RWW,2012,1.1069,1.0459,371,3.843333333,NA,NA,379,3.966666667
RWY,2012,1.0191,1.0073,501,3.84,NA,NA,490,3.86
RX1,2012,0.9316,0.9403,312,3.95,NA,NA,292,3.986666667
RXC,2012,1.0702,1.0526,409,3.756666667,NA,NA,2337,3.63
RXF,2012,0.9917,1.023,393,3.66,NA,NA,3263,3.68
RXH,2012,0.9766,0.96,369,3.823333333,NA,NA,441,3.736666667
RXK,2012,0.9482,0.9907,410,3.803333333,NA,NA,312,3.79
RXL,2012,1.1919,1.2473,394,3.92,NA,NA,471,3.96
RXN,2012,1.0305,1.0005,472,3.753333333,NA,NA,474,3.836666667
RXP,2012,1.0407,0.9724,439,3.78,NA,NA,439,3.84
RXQ,2012,1.1446,1.1091,435,3.806666667,NA,NA,392,3.83
RXR,2012,1.1381,1.1213,384,3.896666667,NA,NA,775,3.866666667
RXW,2012,1.0518,1.0753,478,3.746666667,NA,NA,2831,3.793333333
RYJ,2012,0.7649,0.7575,404,3.866666667,NA,NA,401,3.97
RYR,2012,1.0458,1.0977,388,3.783333333,NA,NA,3270,3.853333333
