"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"R1F",2015,0.9944,1.0212,1.0466,NA,NA,NA,NA,NA,NA,NA,NA
"R1F1",NA,NA,NA,NA,353,0.61,356,3.84333333333333,362,3.8,1146,3.82666666666667
"R1H",2015,0.9003,0.8452,0.8821,3898,0.71,4063,3.89666666666667,3769,3.81,6538,3.96333333333333
"R1K",2015,0.903,0.8802,0.8158,263,0.74,259,4.10666666666667,263,4.00666666666667,2791,4.00333333333333
"RA2",2015,0.8637,0.7997,0.9121,1393,0.7,1392,3.98666666666667,1264,3.90333333333333,1230,3.94666666666667
"RA3",2015,1.1674,1.0183,1.1106,362,0.72,357,3.97666666666667,394,3.81,567,3.89
"RA4",2015,1.0184,1.0107,0.9958,1198,0.67,1188,3.98666666666667,1219,3.84,1365,3.95333333333333
"RA7",2015,0.9774,0.9781,0.9913,3588,0.69,3586,3.86333333333333,3609,3.78333333333333,3543,3.86333333333333
"RA9",2015,0.8219,0.9785,0.8312,2678,0.63,2670,3.92,433,3.91,2690,3.93333333333333
"RAE",2015,0.9465,0.9684,0.9748,385,0.67,379,3.95666666666667,301,3.87,453,3.93
"RAJ",2015,1.1516,1.0361,1.1743,1828,0.71,1815,3.84333333333333,1720,3.71666666666667,1697,3.88
"RAL",2015,0.8852,0.8608,0.9012,2997,0.69,3092,3.96333333333333,3719,3.86,3688,3.96666666666667
"RAP",2015,0.9494,0.9546,0.8893,203,0.72,201,4.06,209,3.96666666666667,973,4.05
"RAS",2015,0.8805,0.9197,0.9313,921,0.69,932,4.05666666666667,794,4.02666666666667,1400,4.07333333333333
"RAX",2015,0.9263,0.8783,0.8584,1095,0.69,1093,3.94,349,3.78,1384,3.95666666666667
"RBA",2015,1,0.9674,0.9844,368,0.7,367,4.02333333333333,238,3.83333333333333,2063,3.95
"RBD",2015,1.1493,1.079,1.1551,1430,0.7,1434,3.91,1362,3.85,1366,3.85
"RBK",2015,1.046,1.1032,1.0339,1401,0.69,1400,3.83,352,3.76,1701,3.81333333333333
"RBL",2015,0.9834,0.9661,0.9699,500,0.69,499,4.00666666666667,2432,3.67666666666667,549,3.92333333333333
"RBN",2015,1.0338,1.0659,1.0347,444,0.67,439,4.02,425,3.91,675,3.99333333333333
"RBT",2015,0.9684,0.9991,1.0424,501,0.7,496,4.01,539,3.89666666666667,707,3.99333333333333
"RBZ",2015,1.0085,0.9331,1.0438,406,0.75,406,4.08,362,3.94,442,3.96
"RC1",2015,0.9937,1.0353,1.049,320,0.72,317,4.05,348,4.03333333333333,490,3.96
"RC9",2015,1.1032,1.0206,1.0595,402,0.75,395,3.97666666666667,1183,3.91333333333333,510,4.02666666666667
"RCB",2015,0.9949,1.0116,0.974,3803,0.65,3790,3.92333333333333,1951,3.81666666666667,3803,3.89666666666667
"RCD",2015,0.9392,1.0132,0.9398,482,0.67,479,4.01666666666667,464,3.93666666666667,647,4.02
"RCF",2015,0.9074,0.9393,0.9656,1004,0.66,998,3.92,1028,3.81,1028,3.89
"RCU",NA,NA,NA,NA,1231,0.6,1264,3.89666666666667,NA,NA,1147,3.86333333333333
"RCX",2015,0.9107,0.9291,1.0098,411,0.73,410,3.96333333333333,392,3.85333333333333,1362,3.96666666666667
