"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"R0A",2018,0.9302,0.9723,NA,6981,0.65,6963,3.94666666666667,NA,NA,NA,NA
"R1F",2018,1.0088,1.1239,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F1",NA,NA,NA,NA,883,0.6,885,3.81,1065,3.82,NA,NA
"R1H",2018,0.8777,0.9105,NA,7221,0.73,7313,3.94666666666667,6932,3.91333333333333,NA,NA
"R1K",2018,0.8294,0.8263,NA,3326,0.76,3403,4.01666666666667,3715,4.03666666666667,NA,NA
"RA2",2018,0.7995,0.8102,NA,1416,0.7,1443,3.97333333333333,1567,3.95333333333333,NA,NA
"RA3",2018,0.9023,1.0219,NA,621,0.66,620,3.81333333333333,722,3.86,NA,NA
"RA4",2018,1.0049,0.9552,NA,1312,0.74,1319,4.02,1275,3.94333333333333,NA,NA
"RA7",2018,1.0504,1.0168,NA,4607,0.68,4720,3.90666666666667,3692,3.88,NA,NA
"RA9",2018,0.9036,0.9159,NA,2435,0.62,2478,3.92333333333333,2132,3.89,NA,NA
"RAE",2018,0.9086,0.9305,NA,2057,0.63,2055,4,2002,3.96,NA,NA
"RAJ",2018,1.1195,1.1152,NA,2118,0.73,2127,3.91,1744,3.87333333333333,NA,NA
"RAL",2018,0.827,0.8646,NA,3175,0.7,3176,3.98,4072,3.94666666666667,NA,NA
"RAP",2018,0.881,0.8558,NA,1190,0.77,1201,4.02,1203,4.02,NA,NA
"RAS",2018,0.9588,0.9448,NA,1487,0.73,1509,4.00333333333333,1513,4.03333333333333,NA,NA
"RAX",2018,0.8193,0.8574,NA,1689,0.74,1702,3.93,1515,3.97333333333333,NA,NA
"RBA",2018,0.9266,0.8907,NA,1626,0.67,1678,3.91666666666667,1730,3.97,NA,NA
"RBD",2018,1.2059,1.1382,NA,1304,0.67,1303,3.9,1310,3.93333333333333,NA,NA
"RBK",2018,1.1234,1.0966,NA,1661,0.67,1663,3.87333333333333,1509,3.81333333333333,NA,NA
"RBL",2018,0.9722,0.9556,NA,2618,0.67,2603,3.86333333333333,375,3.91,NA,NA
"RBN",2018,0.9908,1.0165,NA,612,0.67,611,4.09333333333333,617,3.98666666666667,NA,NA
"RBT",2018,1.0548,1.0412,NA,648,0.68,648,3.96666666666667,669,3.90666666666667,NA,NA
"RBZ",2018,0.9977,1.0771,NA,1133,0.67,1130,4.00666666666667,1148,3.97,NA,NA
"RC1",2018,1.0578,1.026,NA,1180,0.74,1211,3.99,458,3.99,NA,NA
"RC9",2018,1.0461,1.0702,NA,629,0.74,631,3.99666666666667,2087,3.99333333333333,NA,NA
"RCB",2018,0.9828,0.9889,NA,3644,0.65,3628,3.9,4061,3.87,NA,NA
"RCD",2018,0.9273,0.9044,NA,1493,0.72,1558,3.95333333333333,626,3.95666666666667,NA,NA
"RCF",2018,0.9017,0.9862,NA,1134,0.66,1170,3.96,1225,3.94333333333333,NA,NA
"RCU",NA,NA,NA,NA,1696,0.62,1696,3.84333333333333,1479,3.81,NA,NA
"RCX",2018,0.9956,0.9822,NA,1343,0.7,1348,3.83666666666667,1413,3.94333333333333,NA,NA
"RD1",2018,0.9934,0.9888,NA,2281,0.64,2280,3.92,2243,3.91333333333333,NA,NA
"RD3",2018,0.9159,0.8642,NA,1857,0.73,1856,3.94,1814,4.00333333333333,NA,NA
"RD8",2018,1.0466,0.9361,NA,1433,0.63,1440,3.92666666666667,1374,3.91666666666667,NA,NA
"RDD",2018,1.0196,1.0826,NA,1951,0.69,1940,3.96,2195,3.91333333333333,NA,NA
"RDE",2018,1.141,1.1427,NA,3409,0.69,3554,3.9,1555,3.89,NA,NA
"RDU",2018,0.9122,0.918,NA,3594,0.7,3680,4.08333333333333,3391,4.00666666666667,NA,NA
"RDZ",2018,0.9981,0.972,NA,2277,0.67,2351,4.01666666666667,2005,4.02333333333333,NA,NA
"RE9",2018,1.2681,1.201,NA,1370,0.69,1408,3.82666666666667,1571,3.82333333333333,NA,NA
"REF",2018,0.9762,0.9696,NA,1935,0.62,1932,3.84333333333333,2837,3.86666666666667,NA,NA
