"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"REM",2018,0.9975,0.9882,NA,1807,0.66,1785,3.85,2231,3.81666666666667,NA,NA
"RF4",2018,0.9593,1.0232,NA,2616,0.71,2713,3.99,2765,3.97666666666667,NA,NA
"RFF",2018,1.0261,1.0147,NA,1411,0.7,1459,3.9,1297,3.81666666666667,NA,NA
"RFR",2018,1.0572,1.0904,NA,1550,0.65,1588,3.83333333333333,1694,3.8,NA,NA
"RFS",2018,0.994,1.019,NA,2713,0.73,2710,3.89333333333333,2353,3.87,NA,NA
"RGN",2018,1.046,1.0785,NA,2156,0.67,2158,3.97,465,3.94666666666667,NA,NA
"RGP",2018,1.1152,1.1768,NA,487,0.7,487,3.93,521,3.89,NA,NA
"RGQ",NA,NA,1.0501,NA,NA,NA,NA,NA,1919,3.95333333333333,NA,NA
"RGR",2018,0.9029,0.8853,NA,573,0.7,594,3.97333333333333,585,3.98333333333333,NA,NA
"RGT",2018,0.8802,0.8651,NA,4894,0.66,5081,3.96,4511,3.89,NA,NA
"RH8",2018,1.0576,1.1132,NA,4083,0.68,4175,3.98333333333333,3909,3.95,NA,NA
"RHM",2018,0.9398,0.9452,NA,4482,0.68,4593,3.97,4673,3.98666666666667,NA,NA
"RHQ",2018,0.9571,0.9536,NA,7121,0.63,7443,3.85,7145,3.85666666666667,NA,NA
"RHU",2018,1.0212,1.0571,NA,4017,0.7,4019,3.85,4165,3.91333333333333,NA,NA
"RHW",2018,1.046,1.0552,NA,2259,0.69,2318,4.02,2168,3.95333333333333,NA,NA
"RJ1",2018,0.7017,0.7204,NA,6348,0.66,6428,3.99333333333333,5293,3.98666666666667,NA,NA
"RJ2",2018,0.9698,0.9696,NA,2064,0.7,2062,3.94333333333333,1813,3.89666666666667,NA,NA
"RJ6",2018,0.9677,0.8837,NA,865,0.69,878,3.97333333333333,1347,3.98666666666667,NA,NA
"RJ7",2018,0.8394,0.8173,NA,4317,0.68,4379,3.83666666666667,4211,3.88,NA,NA
"RJC",2018,0.9912,1.0103,NA,620,0.71,621,4.01666666666667,586,3.97333333333333,NA,NA
"RJE",2018,1.0554,1.046,NA,4127,0.64,4226,3.89333333333333,4184,3.87,NA,NA
"RJF",NA,NA,0.982,NA,NA,NA,NA,NA,1390,3.96,NA,NA
"RJL",2018,1.1263,1.191,NA,1956,0.6,1974,3.85333333333333,2014,3.79333333333333,NA,NA
"RJN",2018,1.1472,1.071,NA,1150,0.71,1139,3.95666666666667,1024,3.93,NA,NA
"RJR",2018,1.069,1.067,NA,443,0.67,439,3.89333333333333,1466,3.86666666666667,NA,NA
"RJZ",2018,0.9589,0.9287,NA,4555,0.76,4610,3.84333333333333,4815,3.85333333333333,NA,NA
"RK5",2018,0.9672,1.0201,NA,2720,0.67,2752,3.95333333333333,2450,3.92666666666667,NA,NA
"RK9",2018,1.0808,1.0337,NA,3447,0.67,3532,3.91,3805,3.87333333333333,NA,NA
"RKB",2018,1.1202,1.1197,NA,2899,0.68,2895,3.99,3154,3.96666666666667,NA,NA
"RKE",2018,0.7703,0.7437,NA,1858,0.76,1912,3.92,1648,3.95,NA,NA
"RL4",2018,1.2173,1.2181,NA,3102,0.63,3101,3.96,3229,3.93666666666667,NA,NA
"RLN",2018,0.9912,0.9634,NA,2106,0.75,2202,3.90666666666667,1878,3.92,NA,NA
"RLQ",2018,1.0586,1.1668,NA,547,0.72,547,3.98333333333333,1466,3.93333333333333,NA,NA
"RLT",2018,1.1427,1.0863,NA,797,0.65,800,3.87333333333333,905,3.91333333333333,NA,NA
"RM1",2018,1.0748,1.0647,NA,3472,0.67,3472,3.84333333333333,3500,3.82666666666667,NA,NA
"RM2",NA,NA,NA,NA,NA,NA,NA,NA,2055,3.89333333333333,NA,NA
"RM3",2018,0.9182,0.8902,NA,3139,0.61,3255,3.89666666666667,3134,3.84333333333333,NA,NA
"RMC",2018,1.1385,1.0523,NA,539,0.64,544,4.04333333333333,521,3.94666666666667,NA,NA
"RMP",2018,1.2193,1.0789,NA,1430,0.63,1492,3.96333333333333,489,4.00666666666667,NA,NA
"RN3",2018,0.8556,0.9518,NA,516,0.69,525,3.89333333333333,2419,3.94333333333333,NA,NA
"RN5",2018,1.0205,1.0289,NA,2450,0.68,2548,3.89,2494,3.96666666666667,NA,NA
"RN7",2018,1.0729,1.0808,NA,1438,0.73,1438,3.89333333333333,1531,3.93333333333333,NA,NA
"RNA",2018,1.1792,1.0435,NA,1650,0.71,1640,3.88,1674,3.92333333333333,NA,NA
"RNL",2018,0.9636,0.9831,NA,1635,0.62,1695,3.83,1864,3.82666666666667,NA,NA
"RNQ",2018,1.0812,1.107,NA,1747,0.64,1749,3.97666666666667,1380,3.88666666666667,NA,NA
"RNS",2018,1.0362,0.979,NA,2063,0.67,2104,3.94666666666667,1826,3.93666666666667,NA,NA
"RNZ",2018,0.9969,1.0798,NA,1289,0.62,1320,3.90666666666667,1481,3.97666666666667,NA,NA
"RP5",2018,1.0465,1.0462,NA,3191,0.73,3260,3.82666666666667,3069,3.81333333333333,NA,NA
"RPA",2018,1.1022,1.0271,NA,1598,0.65,1596,3.80333333333333,1748,3.87333333333333,NA,NA
"RQ6",2018,1.0444,1.0511,NA,2591,0.59,2569,3.82333333333333,3031,3.79,NA,NA
"RQ8",2018,1.1085,1.0899,NA,1470,0.7,1486,3.88,1507,3.87333333333333,NA,NA
"RQM",2018,0.8022,0.8149,NA,2210,0.78,2276,4.02,1708,3.96,NA,NA
"RQW",2018,1.1669,1.1213,NA,1257,0.64,1299,3.96,1126,3.92,NA,NA
"RQX",2018,0.6917,0.8147,NA,1828,0.77,1862,3.92,1800,3.94333333333333,NA,NA
"RR1",NA,NA,0.9624,NA,NA,NA,NA,NA,3982,3.88,NA,NA
"RR7",2018,1.0409,1.017,NA,1406,0.64,1403,3.87333333333333,1563,3.94,NA,NA
"RR8",2018,1.0744,1.015,NA,6344,0.64,6313,3.93333333333333,5071,3.88666666666667,NA,NA
"RRF",2018,1.1025,1.1729,NA,419,0.58,421,3.93,427,4.08,NA,NA
"RRK",2018,0.9744,1.0295,NA,6583,0.64,6770,3.90333333333333,3813,3.91666666666667,NA,NA
"RRV",2018,0.7255,0.7515,NA,2979,0.67,3052,3.92,3230,3.91666666666667,NA,NA
"RTD",2018,0.9847,0.9282,NA,6588,0.65,6599,3.92333333333333,4524,3.88666666666667,NA,NA
"RTE",2018,1.026,1.0695,NA,3133,0.67,3127,3.84333333333333,3571,3.83333333333333,NA,NA
"RTF",2018,1.0147,1.0142,NA,883,0.71,882,4.00666666666667,878,3.94333333333333,NA,NA
"RTG",2018,0.9676,0.9394,NA,4298,0.69,4429,3.95,3384,3.96,NA,NA
"RTH",2018,0.921,0.9309,NA,5519,0.67,5674,3.89666666666667,4461,3.91,NA,NA
"RTK",2018,0.9781,0.9478,NA,1584,0.68,1608,4.06666666666667,1580,3.99333333333333,NA,NA
"RTP",2018,0.9468,0.9494,NA,2550,0.74,2522,4.04,2450,4.02,NA,NA
"RTR",2018,1.0946,1.1056,NA,408,0.71,408,3.8,406,3.83666666666667,NA,NA
"RTX",2018,1.0087,1.0038,NA,2315,0.62,2371,3.96333333333333,2140,3.91,NA,NA
"RVJ",2018,0.9214,0.9552,NA,3323,0.59,3310,3.85666666666667,3662,3.83,NA,NA
"RVR",2018,0.9657,0.9527,NA,1975,0.65,1967,3.88333333333333,2412,3.92,NA,NA
"RVV",2018,1.0574,1.0156,NA,3342,0.68,3476,3.83333333333333,3630,3.82333333333333,NA,NA
"RVW",2018,1.0072,1.0499,NA,554,0.65,555,3.93666666666667,610,3.9,NA,NA
"RVY",2018,1.1316,1.1419,NA,1118,0.65,1113,3.83333333333333,1243,3.82333333333333,NA,NA
"RW3",NA,NA,NA,NA,NA,NA,NA,NA,4852,3.88666666666667,NA,NA
"RW6",2018,0.9723,1.0077,NA,3061,0.62,3098,3.85666666666667,2946,3.88,NA,NA
"RWA",2018,1.088,1.1034,NA,2918,0.65,3153,3.94333333333333,3428,3.94333333333333,NA,NA
"RWD",2018,1.1405,1.1487,NA,3217,0.67,3346,3.82333333333333,3167,3.88666666666667,NA,NA
"RWE",2018,0.9901,0.9663,NA,5193,0.69,5315,3.95333333333333,4680,3.91333333333333,NA,NA
"RWF",2018,1.0391,1.0219,NA,1865,0.63,1860,3.92,393,3.89,NA,NA
"RWG",2018,0.9646,0.9798,NA,2026,0.7,2019,4.01666666666667,1841,3.96333333333333,NA,NA
"RWH",2018,0.999,1.0736,NA,2355,0.71,2350,3.92666666666667,1601,3.87666666666667,NA,NA
"RWJ",2018,0.9631,0.9609,NA,610,0.61,603,3.90666666666667,2106,3.87333333333333,NA,NA
"RWP",2018,1.1132,1.0476,NA,1946,0.72,1956,3.9,1935,3.92666666666667,NA,NA
"RWW",2018,1.0992,1.0673,NA,1958,0.63,1958,3.95666666666667,1784,3.90666666666667,NA,NA
"RWY",2018,1.0025,1.0064,NA,2604,0.7,2738,3.92333333333333,2386,3.88666666666667,NA,NA
"RX1",2018,1.053,1.0185,NA,5007,0.67,5278,3.86333333333333,5123,3.85666666666667,NA,NA
"RXC",2018,0.9996,1.0449,NA,3565,0.67,3579,3.9,3185,3.89333333333333,NA,NA
"RXF",2018,0.9907,0.9862,NA,476,0.71,504,3.88666666666667,3283,3.84,NA,NA
"RXH",2018,1.011,0.9977,NA,4587,0.72,4644,3.84666666666667,4142,3.78,NA,NA
"RXK",2018,1.135,1.1259,NA,269,0.7,272,3.96333333333333,296,3.88666666666667,NA,NA
"RXL",2018,1.1499,1.1453,NA,2189,0.68,2278,3.97666666666667,2308,3.99666666666667,NA,NA
"RXN",2018,0.9713,1.044,NA,3432,0.63,3553,3.86666666666667,3785,3.92,NA,NA
"RXP",2018,1.0922,1.0448,NA,327,0.69,327,3.86,3068,3.87,NA,NA
"RXQ",2018,0.9924,1.0049,NA,2932,0.73,2925,3.96666666666667,2801,3.93333333333333,NA,NA
"RXR",2018,1.0692,1.0675,NA,3415,0.67,3595,3.99666666666667,3305,3.93333333333333,NA,NA
"RXW",2018,0.9896,1.0287,NA,2537,0.66,2530,3.81,2340,3.9,NA,NA
"RYJ",2018,0.7321,0.7512,NA,530,0.74,540,3.98,483,3.93,NA,NA
"RYR",2018,0.9815,0.959,NA,4308,0.71,4302,3.91333333333333,4425,3.94666666666667,NA,NA
